A	DA	B	DB	R
-92	0	-100	60	0
-212	0	-100	7	1
-821	0	-100	60	1
-443	0	-100	60	1
-42	0	-100	30	0
-263	0	-100	60	1
-110	0	-100	7	1
-54	0	-100	7	0
-136	0	-100	180	1
-77	0	-100	180	0
-133	0	-100	2	1
-75	0	-100	2	0
-177	0	-100	365	1
-723	0	-100	30	1
-358	0	-100	30	1
-83	0	-100	7	0
-114	0	-100	2	1
-93	0	-100	2	0
-195	0	-100	30	1
-104	0	-100	2	1
-101	0	-100	7	0
-118	0	-100	30	1
-97	0	-100	2	0
-180	0	-100	60	1
-135	0	-100	60	1
-116	0	-100	180	1
-96	0	-100	180	0
-91	0	-100	365	0
-113	0	-100	60	1
-105	0	-100	180	0
-99	0	-100	60	0
-102	0	-100	2	1
-109	0	-100	60	1
-78	0	-100	30	0
-121	0	-100	7	1
-99	0	-100	30	0
-98	0	-100	2	0
-113	0	-100	180	0
-141	0	-100	365	1
-111	0	-100	30	1
-119	0	-100	180	1
-115	0	-100	180	1
-104	0	-100	7	1
-100	0	-100	2	0
-103	0	-100	60	1
-99	0	-100	7	0
-111	0	-100	180	1
-116	0	-100	365	0
-102	0	-100	7	1
-130	0	-100	365	1
-100	0	-100	7	0
-121	0	-100	365	1
-102	0	-100	30	0
-108	0	-100	30	1
-104	0	-100	2	0
-103	0	-100	7	0
-104	0	-100	30	1
-108	0	-100	180	0
-115	0	-100	365	1
-98	0	-100	60	0
-107	0	-100	2	1
-104	0	-100	2	1
-110	0	-100	365	0
-102	0	-100	60	0
-102	0	-100	2	1
-101	0	-100	2	0
-104	0	-100	60	0
-110	0	-100	180	1
-109	0	-100	180	1
-113	0	-100	365	0
-100	0	-100	30	0
-106	0	-100	7	1
-103	0	-100	7	0
-108	0	-100	180	1
-116	0	-100	365	0
-106	0	-100	7	0
-107	0	-100	7	1
-119	0	-100	365	1
-105	0	-100	30	0
-107	0	-100	30	1
-108	0	-100	60	1
-105	0	-100	180	0
-118	0	-100	365	1
-102	0	-100	2	1
-106	0	-100	180	1
-115	0	-100	365	0
-106	0	-100	60	1
-117	0	-100	365	0
-103	0	-100	30	0
-118	0	-100	365	1
