A	DA	B	DB	R
94	0	100	180	0
56	0	100	180	1
104	0	100	30	0
59	0	100	30	1
157	0	100	180	0
0	0	100	7	1
42	0	100	365	0
157	0	100	30	0
74	0	100	180	0
50	0	100	60	1
89	0	100	365	0
780	0	100	60	0
80	0	100	2	1
23	0	100	365	1
381	0	100	60	0
780	0	100	2	0
36	0	100	365	1
228	0	100	60	0
680	0	100	7	0
432	0	100	2	0
44	0	100	365	0
36	0	100	365	1
63	0	100	180	1
136	0	100	60	0
40	0	100	365	1
93	0	100	60	0
83	0	100	30	0
44	0	100	365	0
41	0	100	365	0
72	0	100	60	1
38	0	100	365	1
337	0	100	7	0
70	0	100	180	0
39	0	100	365	1
41	0	100	365	1
250	0	100	2	0
164	0	100	2	0
71	0	100	30	1
84	0	100	60	0
77	0	100	60	0
44	0	100	365	0
172	0	100	7	0
71	0	100	60	1
85	0	100	7	1
119	0	100	2	0
75	0	100	60	1
65	0	100	180	1
78	0	100	30	1
69	0	100	180	0
65	0	100	180	1
84	0	100	30	1
99	0	100	2	0
88	0	100	30	1
87	0	100	2	1
68	0	100	180	0
130	0	100	7	0
79	0	100	60	1
107	0	100	7	0
42	0	100	365	0
93	0	100	7	1
96	0	100	2	1
103	0	100	7	0
97	0	100	7	0
101	0	100	2	0
67	0	100	180	1
81	0	100	60	1
92	0	100	7	1
94	0	100	30	0
88	0	100	30	1
92	0	100	30	1
96	0	100	7	0
67	0	100	180	1
93	0	100	30	0
98	0	100	2	1
92	0	100	30	1
100	0	100	2	0
41	0	100	365	0
71	0	100	180	1
94	0	100	7	1
97	0	100	7	0
72	0	100	180	1
92	0	100	30	1
84	0	100	60	1
97	0	100	2	1
95	0	100	7	1
72	0	100	180	1
86	0	100	60	1
100	0	100	2	0
98	0	100	2	1
97	0	100	30	1
