A	DA	B	DB	R
89	0	100	180	1
85	0	100	7	1
81	0	100	90	1
86	0	100	365	0
383	0	100	7	0
69	0	100	30	1
230	0	100	7	0
342	0	100	30	0
156	0	100	7	0
95	0	100	270	0
354	0	100	180	0
226	0	100	180	0
159	0	100	180	0
202	0	100	30	0
54	0	100	270	1
49	0	100	365	1
122	0	100	180	0
105	0	100	180	0
349	0	100	90	0
78	0	100	365	0
81	0	100	270	0
93	0	100	180	0
215	0	100	90	0
144	0	100	90	0
65	0	100	270	1
111	0	100	90	0
119	0	100	7	0
136	0	100	30	0
103	0	100	30	0
61	0	100	365	1
71	0	100	180	1
96	0	100	90	0
75	0	100	270	1
68	0	100	365	0
80	0	100	270	0
85	0	100	30	1
103	0	100	7	0
76	0	100	270	1
82	0	100	90	1
91	0	100	7	1
92	0	100	90	0
99	0	100	7	1
63	0	100	365	1
105	0	100	7	0
101	0	100	7	0
80	0	100	270	0
76	0	100	270	1
98	0	100	7	1
69	0	100	365	1
89	0	100	180	1
95	0	100	30	1
79	0	100	270	1
87	0	100	90	1
93	0	100	180	0
90	0	100	180	0
86	0	100	180	0
71	0	100	365	1
103	0	100	30	0
92	0	100	90	1
80	0	100	270	0
79	0	100	270	1
74	0	100	365	1
77	0	100	365	1
79	0	100	270	1
79	0	100	365	1
81	0	100	270	1
98	0	100	7	1
94	0	100	90	0
96	0	100	30	0
86	0	100	180	1
93	0	100	30	1
92	0	100	90	1
96	0	100	30	0
93	0	100	30	0
80	0	100	365	0
102	0	100	7	0
100	0	100	7	0
93	0	100	30	0
86	0	100	180	1
97	0	100	7	1
95	0	100	90	0
79	0	100	365	0
89	0	100	30	1
78	0	100	365	0
92	0	100	30	1
83	0	100	270	1
93	0	100	90	0
92	0	100	90	1
89	0	100	180	0
76	0	100	365	1
