A	DA	B	DB	R
75	0	100	2	1
126	0	100	7	0
66	0	100	7	0
113	0	100	60	0
798	0	100	2	0
137	0	100	30	0
77	0	100	30	0
389	0	100	2	0
231	0	100	2	0
156	0	100	2	0
114	0	100	180	0
41	0	100	30	1
51	0	100	365	0
64	0	100	180	0
66	0	100	60	0
35	0	100	60	1
80	0	100	365	0
35	0	100	180	1
26	0	100	365	1
53	0	100	60	1
117	0	100	2	0
52	0	100	180	1
39	0	100	365	1
60	0	100	30	0
36	0	100	7	1
63	0	100	60	1
48	0	100	365	1
48	0	100	30	1
58	0	100	365	0
55	0	100	30	1
97	0	100	2	0
62	0	100	180	1
52	0	100	7	1
49	0	100	365	0
62	0	100	7	1
75	0	100	60	0
45	0	100	365	1
84	0	100	2	1
48	0	100	365	0
77	0	100	7	1
76	0	100	180	0
91	0	100	7	1
94	0	100	2	1
47	0	100	365	1
48	0	100	365	1
98	0	100	2	0
64	0	100	180	1
62	0	100	30	1
68	0	100	180	1
67	0	100	30	1
69	0	100	30	1
95	0	100	2	1
65	0	100	60	1
170	0	100	7	0
69	0	100	60	1
98	0	100	2	0
75	0	100	30	1
72	0	100	180	0
102	0	100	7	0
94	0	100	2	1
96	0	100	2	0
68	0	100	180	1
50	0	100	365	1
82	0	100	30	1
92	0	100	7	0
84	0	100	7	1
70	0	100	180	0
74	0	100	60	0
69	0	100	180	1
70	0	100	60	0
71	0	100	180	0
51	0	100	365	1
97	0	100	30	0
88	0	100	7	1
91	0	100	7	1
95	0	100	2	1
95	0	100	7	0
81	0	100	30	1
68	0	100	180	1
69	0	100	180	1
68	0	100	60	1
53	0	100	365	1
84	0	100	30	1
93	0	100	7	1
89	0	100	30	1
70	0	100	60	1
71	0	100	60	0
68	0	100	60	1
53	0	100	365	1
71	0	100	60	0
