A	DA	B	DB	R
92	0	100	7	1
20	0	100	365	1
722	0	100	7	0
106	0	100	2	0
154	0	100	30	1
33	0	100	180	0
61	0	100	60	0
784	0	100	30	0
42	0	100	60	1
59	0	100	2	1
762	0	100	365	0
367	0	100	365	0
199	0	100	365	0
398	0	100	7	0
71	0	100	180	0
147	0	100	2	0
21	0	100	180	1
28	0	100	180	1
254	0	100	7	0
115	0	100	60	0
168	0	100	7	0
83	0	100	2	1
108	0	100	365	0
63	0	100	365	0
132	0	100	7	0
465	0	100	30	0
95	0	100	2	1
52	0	100	60	1
38	0	100	180	1
42	0	100	365	0
58	0	100	180	0
111	0	100	7	0
97	0	100	7	0
63	0	100	60	1
31	0	100	365	1
104	0	100	2	0
314	0	100	30	0
235	0	100	30	0
41	0	100	180	1
45	0	100	180	1
50	0	100	180	1
38	0	100	365	1
78	0	100	60	0
194	0	100	30	0
54	0	100	180	1
65	0	100	60	0
98	0	100	2	1
102	0	100	2	0
75	0	100	7	1
172	0	100	30	0
94	0	100	7	1
62	0	100	60	1
98	0	100	2	1
63	0	100	60	1
156	0	100	30	0
44	0	100	365	1
120	0	100	30	0
58	0	100	180	1
66	0	100	30	1
67	0	100	60	0
49	0	100	365	1
100	0	100	2	0
67	0	100	180	1
64	0	100	60	1
53	0	100	365	1
65	0	100	60	1
99	0	100	7	1
99	0	100	2	1
103	0	100	7	0
99	0	100	2	1
101	0	100	30	0
67	0	100	60	1
102	0	100	2	0
99	0	100	7	1
69	0	100	60	1
101	0	100	2	0
103	0	100	7	1
71	0	100	60	1
58	0	100	365	1
62	0	100	365	1
83	0	100	30	1
93	0	100	30	1
151	0	100	180	0
104	0	100	7	0
67	0	100	180	1
74	0	100	180	1
69	0	100	365	1
99	0	100	2	1
99	0	100	30	1
106	0	100	30	0
