A	DA	B	DB	R
-115	0	-100	7	1
-111	0	-100	30	1
-59	0	-100	30	0
-68	0	-100	180	0
-60	0	-100	7	0
-94	0	-100	90	0
-375	0	-100	90	1
-90	0	-100	7	0
-153	0	-100	7	1
-103	0	-100	7	1
-74	0	-100	270	0
-226	0	-100	90	1
-102	0	-100	365	1
-372	0	-100	270	1
-348	0	-100	180	1
-196	0	-100	180	1
-56	0	-100	365	0
-217	0	-100	270	1
-82	0	-100	365	0
-130	0	-100	180	1
-95	0	-100	7	0
-145	0	-100	270	1
-132	0	-100	365	1
-162	0	-100	90	1
-89	0	-100	30	0
-99	0	-100	180	1
-92	0	-100	365	0
-129	0	-100	90	1
-100	0	-100	365	1
-113	0	-100	90	1
-100	0	-100	7	1
-111	0	-100	270	1
-148	0	-100	30	1
-95	0	-100	365	1
-103	0	-100	30	0
-84	0	-100	180	0
-90	0	-100	365	1
-97	0	-100	7	0
-88	0	-100	365	1
-110	0	-100	30	1
-92	0	-100	270	0
-102	0	-100	30	1
-99	0	-100	7	1
-84	0	-100	365	0
-87	0	-100	365	0
-96	0	-100	7	0
-102	0	-100	270	0
-99	0	-100	90	1
-111	0	-100	270	1
-82	0	-100	90	0
-97	0	-100	90	1
-97	0	-100	7	0
-95	0	-100	180	1
-99	0	-100	30	0
-87	0	-100	180	1
-101	0	-100	7	0
-93	0	-100	90	0
-105	0	-100	270	1
-102	0	-100	30	0
-102	0	-100	7	0
-104	0	-100	7	0
-101	0	-100	270	0
-89	0	-100	365	0
-95	0	-100	90	1
-104	0	-100	30	1
-103	0	-100	30	1
-104	0	-100	270	0
-83	0	-100	180	0
-107	0	-100	270	1
-86	0	-100	180	0
-104	0	-100	270	0
-90	0	-100	365	1
-94	0	-100	90	0
-100	0	-100	30	0
-102	0	-100	30	0
-105	0	-100	7	1
-105	0	-100	30	1
-95	0	-100	90	0
-107	0	-100	270	1
-104	0	-100	270	1
-90	0	-100	180	1
-89	0	-100	365	1
-97	0	-100	90	1
-102	0	-100	30	1
-98	0	-100	90	0
-86	0	-100	180	0
-89	0	-100	180	0
-90	0	-100	180	0
-88	0	-100	365	1
-91	0	-100	180	1
