A	DA	B	DB	R	ID
80	0	85	157	0	1
34	0	50	30	1	1
25	0	60	14	1	1
11	0	30	7	1	1
49	0	60	89	0	1
41	0	75	20	1	1
34	0	35	186	0	1
31	0	85	7	1	1
19	0	25	53	0	1
22	0	25	136	0	1
55	0	75	61	0	1
28	0	30	179	0	1
47	0	50	160	0	1
14	0	25	19	1	1
54	0	80	30	1	1
69	0	85	91	0	1
54	0	55	117	0	1
25	0	30	80	0	1
27	0	50	21	1	1
40	0	55	62	0	1
54	0	60	111	0	1
15	0	35	13	1	1
33	0	80	14	1	1
24	0	35	29	0	1
78	0	80	162	0	1
67	0	75	119	0	1
20	0	55	7	1	1
80	0	85	157	0	2
34	0	50	30	1	2
25	0	60	14	1	2
11	0	30	7	1	2
49	0	60	89	0	2
41	0	75	20	1	2
34	0	35	186	0	2
31	0	85	7	1	2
19	0	25	53	0	2
22	0	25	136	0	2
55	0	75	61	1	2
28	0	30	179	0	2
47	0	50	160	0	2
14	0	25	19	1	2
54	0	80	30	1	2
69	0	85	91	0	2
54	0	55	117	0	2
25	0	30	80	0	2
27	0	50	21	1	2
40	0	55	62	0	2
54	0	60	111	0	2
15	0	35	13	1	2
33	0	80	14	1	2
24	0	35	29	1	2
78	0	80	162	0	2
67	0	75	119	0	2
20	0	55	7	1	2
80	0	85	157	0	3
34	0	50	30	0	3
25	0	60	14	1	3
11	0	30	7	1	3
49	0	60	89	0	3
41	0	75	20	1	3
34	0	35	186	0	3
31	0	85	7	1	3
19	0	25	53	0	3
22	0	25	136	0	3
55	0	75	61	0	3
28	0	30	179	0	3
47	0	50	160	0	3
14	0	25	19	1	3
54	0	80	30	0	3
69	0	85	91	0	3
54	0	55	117	0	3
25	0	30	80	0	3
27	0	50	21	1	3
40	0	55	62	0	3
54	0	60	111	0	3
15	0	35	13	1	3
33	0	80	14	1	3
24	0	35	29	0	3
78	0	80	162	0	3
67	0	75	119	0	3
20	0	55	7	1	3
