A	B	DA	DB	R
10	20	0	60	1
10	20	0	180	1
11	20	0	365	1
8	20	0	1825	1
1	20	0	365	1
2	20	0	365	1
12	20	0	1825	0
4	20	0	365	1
13	20	0	365	1
11	20	0	1825	1
14	20	0	1825	1
1	20	0	1825	1
2	20	0	1825	1
15	20	0	1825	0
3	20	0	1825	1
16	20	0	1825	0
13	20	0	1825	1
17	20	0	1825	0
12	20	0	1825	1
10	20	0	1825	1
9	20	0	1825	1
11	20	0	1825	1
14	20	0	1825	1
18	20	0	1825	0
19	20	0	1825	0
15	20	0	1825	0
8	20	0	1825	1
16	20	0	1825	1
13	20	0	1825	1
17	20	0	1825	1
12	20	0	1825	1
15	20	0	1	1
15	20	0	2	1
11	20	0	1825	1
14	20	0	1825	1
18	20	0	1825	0
