A	B	DA	DB	R	ID	PA	PB
9	20	0	60	0	1	1	1
10	20	0	21	1	1	1	1
8	20	0	60	1	1	1	1
7	20	0	90	1	1	1	1
1	20	0	30	1	1	1	1
7	20	0	180	1	1	1	1
1	20	0	90	1	1	1	1
1	20	0	180	1	1	1	1
8	20	0	365	1	1	1	1
2	20	0	365	1	1	1	1
12	20	0	365	1	1	1	1
1	20	0	365	1	1	1	1
3	20	0	365	1	1	1	1
15	20	0	365	0	1	1	1
14	20	0	365	1	1	1	1
16	20	0	365	1	1	1	1
4	20	0	365	1	1	1	1
5	20	0	365	1	1	1	1
6	20	0	365	1	1	1	1
17	20	0	365	1	1	1	1
7	20	0	365	1	1	1	1
2	20	0	365	1	1	1	1
13	20	0	365	1	1	1	1
18	20	0	365	0	1	1	1
19	20	0	365	0	1	1	1
15	20	0	365	1	1	1	1
14	20	0	365	1	1	1	1
16	20	0	365	1	1	1	1
12	20	0	365	1	1	1	1
19	20	0	180	1	1	1	1
11	20	0	365	1	1	1	1
17	20	0	365	1	1	1	1
14	20	0	0.0416666666666667	1	1	1	1
14	20	0	0.0833333333333333	1	1	1	1
13	20	0	365	1	1	1	1
18	20	0	365	1	1	1	1
10	20	0	60	0	2	1	1
10	20	0	21	0	2	1	1
11	20	0	7	0	2	1	1
9	20	0	5	1	2	1	1
18	20	0	30	0	2	1	1
17	20	0	21	0	2	1	1
12	20	0	2	0	2	1	1
19	20	0	14	0	2	1	1
19	20	0	7	0	2	1	1
11	20	0	2	1	2	1	1
19	20	0	21	0	2	1	1
9	20	0	2	1	2	1	1
10	20	0	6	1	2	1	1
19	20	0	30	0	2	1	1
6	20	0	3	1	2	1	1
10	20	0	7	1	2	1	1
10	20	0	14	0	2	1	1
9	20	0	6	1	2	1	1
9	20	0	14	1	2	1	1
14	20	0	21	0	2	1	1
11	20	0	7	1	2	1	1
11	20	0	14	0	2	1	1
9	20	0	7	1	2	1	1
8	20	0	21	1	2	1	1
12	20	0	14	0	2	1	1
8	20	0	14	1	2	1	1
9	20	0	21	1	2	1	1
11	20	0	21	1	2	1	1
13	20	0	21	0	2	1	1
10	20	0	14	1	2	1	1
10	20	0	21	0	2	1	1
9	20	0	14	1	2	1	1
12	20	0	21	0	2	1	1
11	20	0	14	1	2	1	1
13	20	0	14	1	2	1	1
10	20	0	30	0	2	1	1
10	20	0	60	1	3	1	1
10	20	0	180	1	3	1	1
11	20	0	365	1	3	1	1
8	20	0	1825	0	3	1	1
1	20	0	90	1	3	1	1
1	20	0	180	1	3	1	1
3	20	0	180	1	3	1	1
9	20	0	365	0	3	1	1
