A	B	DA	DB	R
10	20	0	60	0
10	20	0	21	1
7	20	0	90	1
8	20	0	90	1
1	20	0	60	1
8	20	0	180	0
1	20	0	21	1
9	20	0	180	0
10	20	0	180	0
11	20	0	21	1
6	20	0	365	0
13	20	0	14	1
11	20	0	90	0
12	20	0	21	1
10	20	0	90	1
14	20	0	180	0
13	20	0	180	0
10	20	0	60	1
12	20	0	60	1
9	20	0	90	1
12	20	0	90	1
15	20	0	180	0
12	20	0	180	0
11	20	0	60	1
11	20	0	90	0
8	20	0	90	1
10	20	0	90	0
7	20	0	90	1
8	20	0	60	1
13	20	0	60	1
8	20	0	180	0
9	20	0	90	1
12	20	0	90	1
9	20	0	180	0
13	20	0	90	0
7	20	0	180	0
11	20	0	90	0
11	20	0	60	1
10	20	0	90	0
12	20	0	60	1
6	20	0	180	0
