A	DA	B	DB	R
-115	0	-100	7	1
-111	0	-100	30	1
-59	0	-100	30	1
-68	0	-100	180	1
-60	0	-100	7	0
-94	0	-100	90	1
-52	0	-100	90	1
-90	0	-100	7	0
-153	0	-100	7	1
-103	0	-100	7	1
-74	0	-100	270	1
-30	0	-100	90	0
-102	0	-100	365	1
-41	0	-100	270	1
-37	0	-100	180	1
-22	0	-100	180	1
-56	0	-100	365	1
-24	0	-100	270	0
-31	0	-100	365	1
-15	0	-100	180	0
-95	0	-100	7	1
-33	0	-100	270	0
-19	0	-100	365	0
-42	0	-100	90	1
-29	0	-100	30	0
-18	0	-100	180	0
-24	0	-100	365	1
-33	0	-100	90	1
-20	0	-100	365	0
-28	0	-100	90	0
-88	0	-100	7	1
-42	0	-100	270	1
-44	0	-100	30	1
-23	0	-100	365	0
-36	0	-100	30	1
-24	0	-100	180	0
-27	0	-100	365	0
-81	0	-100	7	1
-30	0	-100	365	1
-27	0	-100	30	0
-36	0	-100	270	1
-35	0	-100	30	0
-76	0	-100	7	1
-27	0	-100	365	0
-29	0	-100	365	0
-70	0	-100	7	1
-29	0	-100	270	0
-33	0	-100	90	1
-35	0	-100	270	0
-29	0	-100	90	0
-31	0	-100	90	0
-62	0	-100	7	1
-27	0	-100	180	0
-36	0	-100	30	0
-30	0	-100	180	0
-56	0	-100	7	0
-34	0	-100	90	1
-37	0	-100	270	1
-40	0	-100	30	0
-63	0	-100	7	0
-66	0	-100	7	1
-36	0	-100	270	0
-32	0	-100	365	0
-32	0	-100	90	0
-43	0	-100	30	1
-41	0	-100	30	1
-37	0	-100	270	1
-35	0	-100	180	1
-34	0	-100	270	1
-30	0	-100	180	1
-34	0	-100	270	1
-34	0	-100	365	0
-34	0	-100	90	0
-39	0	-100	30	0
-41	0	-100	30	1
-64	0	-100	7	1
-38	0	-100	30	1
-36	0	-100	90	1
-32	0	-100	270	1
-32	0	-100	270	1
-28	0	-100	180	1
-34	0	-100	365	1
-35	0	-100	90	1
-38	0	-100	30	0
-33	0	-100	90	0
-27	0	-100	180	0
-28	0	-100	180	0
-29	0	-100	180	0
-32	0	-100	365	0
-30	0	-100	180	0
