A	DA	B	DB	R
-115	0	-100	7	1
-111	0	-100	30	1
-59	0	-100	30	0
-68	0	-100	180	0
-60	0	-100	7	0
-94	0	-100	90	0
-375	0	-100	90	1
-90	0	-100	7	1
-75	0	-100	7	0
-84	0	-100	7	1
-74	0	-100	270	0
-226	0	-100	90	1
-102	0	-100	365	1
-372	0	-100	270	1
-348	0	-100	180	1
-196	0	-100	180	1
-56	0	-100	365	0
-217	0	-100	270	1
-82	0	-100	365	1
-130	0	-100	180	1
-78	0	-100	7	0
-145	0	-100	270	1
-68	0	-100	365	0
-162	0	-100	90	1
-89	0	-100	30	0
-99	0	-100	180	1
-77	0	-100	365	1
-129	0	-100	90	1
-71	0	-100	365	1
-113	0	-100	90	1
-82	0	-100	7	0
-111	0	-100	270	1
-148	0	-100	30	1
-66	0	-100	365	1
-103	0	-100	30	1
-84	0	-100	180	1
-61	0	-100	365	0
-85	0	-100	7	0
-65	0	-100	365	1
-93	0	-100	30	0
-92	0	-100	270	1
-100	0	-100	30	1
-87	0	-100	7	0
-63	0	-100	365	0
-66	0	-100	365	0
-91	0	-100	7	0
-81	0	-100	270	0
-99	0	-100	90	0
-88	0	-100	270	0
-108	0	-100	90	1
-103	0	-100	90	0
-95	0	-100	7	0
-74	0	-100	180	0
-96	0	-100	30	0
-81	0	-100	180	1
-97	0	-100	7	0
-108	0	-100	90	1
-94	0	-100	270	1
-98	0	-100	30	0
-100	0	-100	7	0
-111	0	-100	7	1
-89	0	-100	270	0
-68	0	-100	365	1
-103	0	-100	90	1
-102	0	-100	30	0
-104	0	-100	30	0
-92	0	-100	270	0
-77	0	-100	180	0
-95	0	-100	270	1
-81	0	-100	180	0
-92	0	-100	270	1
-67	0	-100	365	0
-103	0	-100	90	1
-107	0	-100	30	0
-108	0	-100	30	1
-101	0	-100	7	1
-106	0	-100	30	1
-99	0	-100	90	1
-91	0	-100	270	0
-93	0	-100	270	1
-83	0	-100	180	1
-68	0	-100	365	0
-96	0	-100	90	1
-103	0	-100	30	1
-96	0	-100	90	1
-81	0	-100	180	1
-78	0	-100	180	1
-78	0	-100	180	0
-69	0	-100	365	0
-78	0	-100	180	1
