A	DA	B	DB	R
-114	0	-100	30	0
-65	0	-100	7	0
-92	0	-100	60	0
-156	0	-100	365	1
-771	0	-100	30	1
-157	0	-100	180	1
-85	0	-100	180	0
-127	0	-100	180	1
-433	0	-100	30	1
-794	0	-100	60	1
-56	0	-100	2	0
-738	0	-100	7	1
-430	0	-100	60	1
-105	0	-100	180	0
-86	0	-100	365	0
-262	0	-100	60	1
-776	0	-100	2	1
-385	0	-100	2	1
-396	0	-100	7	1
-118	0	-100	180	1
-216	0	-100	2	1
-127	0	-100	365	0
-284	0	-100	30	1
-201	0	-100	30	1
-139	0	-100	2	0
-173	0	-100	60	0
-155	0	-100	30	1
-178	0	-100	2	1
-222	0	-100	7	1
-135	0	-100	30	1
-158	0	-100	2	1
-109	0	-100	180	0
-115	0	-100	180	1
-201	0	-100	365	1
-120	0	-100	30	0
-141	0	-100	365	0
-111	0	-100	180	0
-147	0	-100	2	0
-153	0	-100	365	0
-115	0	-100	180	0
-149	0	-100	7	1
-118	0	-100	180	0
-218	0	-100	60	1
-164	0	-100	365	0
-120	0	-100	180	0
-155	0	-100	2	1
-179	0	-100	365	0
-131	0	-100	30	0
-106	0	-100	7	0
-195	0	-100	60	1
-182	0	-100	60	1
-261	0	-100	365	0
-120	0	-100	180	0
-169	0	-100	60	1
-136	0	-100	30	0
-834	0	-100	365	1
-498	0	-100	365	1
-358	0	-100	365	1
-148	0	-100	60	0
-141	0	-100	30	0
-123	0	-100	180	0
-125	0	-100	180	0
-126	0	-100	7	1
-225	0	-100	365	1
-149	0	-100	2	1
-167	0	-100	60	1
-115	0	-100	7	1
-185	0	-100	365	0
-146	0	-100	2	1
-107	0	-100	7	1
-99	0	-100	7	0
-142	0	-100	2	1
-146	0	-100	30	1
-164	0	-100	60	1
-106	0	-100	7	0
-141	0	-100	30	1
-138	0	-100	30	0
-109	0	-100	7	0
-196	0	-100	365	0
-127	0	-100	180	0
-137	0	-100	2	1
-141	0	-100	30	1
-113	0	-100	7	1
-111	0	-100	7	1
-132	0	-100	2	1
-157	0	-100	60	0
-161	0	-100	60	1
-113	0	-100	2	1
-109	0	-100	7	1
-159	0	-100	60	0
