A	DA	B	DB	R
89	0	100	180	1
85	0	100	7	1
81	0	100	90	1
86	0	100	365	1
383	0	100	7	0
69	0	100	30	1
230	0	100	7	0
342	0	100	30	0
156	0	100	7	0
95	0	100	270	0
354	0	100	180	0
226	0	100	180	0
159	0	100	180	0
202	0	100	30	0
54	0	100	270	1
338	0	100	365	0
122	0	100	180	0
105	0	100	180	0
349	0	100	90	0
208	0	100	365	0
81	0	100	270	1
93	0	100	180	0
215	0	100	90	0
144	0	100	90	0
129	0	100	270	0
111	0	100	90	0
119	0	100	7	0
136	0	100	30	0
103	0	100	30	0
148	0	100	365	0
71	0	100	180	1
96	0	100	90	0
88	0	100	270	1
116	0	100	365	0
96	0	100	270	0
85	0	100	30	1
103	0	100	7	0
91	0	100	270	0
82	0	100	90	1
91	0	100	7	1
92	0	100	90	0
99	0	100	7	0
99	0	100	365	0
94	0	100	7	1
100	0	100	7	0
86	0	100	270	1
89	0	100	270	0
96	0	100	7	0
86	0	100	365	0
89	0	100	180	1
95	0	100	30	0
87	0	100	270	1
87	0	100	90	1
93	0	100	180	0
90	0	100	180	0
86	0	100	180	0
62	0	100	365	1
89	0	100	30	1
92	0	100	90	0
90	0	100	270	0
87	0	100	270	0
84	0	100	365	0
79	0	100	365	1
86	0	100	270	1
83	0	100	365	0
86	0	100	270	0
94	0	100	7	1
88	0	100	90	1
94	0	100	30	1
86	0	100	180	0
98	0	100	30	0
91	0	100	90	0
95	0	100	30	0
91	0	100	30	0
79	0	100	365	0
95	0	100	7	0
93	0	100	7	1
89	0	100	30	1
83	0	100	180	0
96	0	100	7	0
89	0	100	90	0
78	0	100	365	1
91	0	100	30	0
80	0	100	365	0
89	0	100	30	1
87	0	100	270	0
86	0	100	90	0
84	0	100	90	0
79	0	100	180	1
80	0	100	365	1
