A	DA	B	DB	R	ID	PA	PB
89	0	100	180	0	1	1	1
85	0	100	7	1	1	1	1
81	0	100	90	0	1	1	1
86	0	100	365	0	1	1	1
383	0	100	7	0	1	1	1
69	0	100	30	0	1	1	1
230	0	100	7	0	1	1	1
39	0	100	30	1	1	1	1
156	0	100	7	0	1	1	1
95	0	100	270	0	1	1	1
49	0	100	180	0	1	1	1
25	0	100	180	1	1	1	1
37	0	100	180	1	1	1	1
99	0	100	30	0	1	1	1
54	0	100	270	1	1	1	1
49	0	100	365	1	1	1	1
46	0	100	180	1	1	1	1
55	0	100	180	1	1	1	1
45	0	100	90	1	1	1	1
78	0	100	365	0	1	1	1
81	0	100	270	0	1	1	1
66	0	100	180	1	1	1	1
73	0	100	90	1	1	1	1
120	0	100	90	0	1	1	1
65	0	100	270	1	1	1	1
80	0	100	90	1	1	1	1
119	0	100	7	0	1	1	1
54	0	100	30	1	1	1	1
63	0	100	30	1	1	1	1
61	0	100	365	0	1	1	1
81	0	100	180	1	1	1	1
89	0	100	90	0	1	1	1
75	0	100	270	0	1	1	1
51	0	100	365	1	1	1	1
69	0	100	270	0	1	1	1
71	0	100	30	1	1	1	1
103	0	100	7	0	1	1	1
63	0	100	270	1	1	1	1
80	0	100	90	0	1	1	1
91	0	100	7	1	1	1	1
77	0	100	90	1	1	1	1
99	0	100	7	0	1	1	1
59	0	100	365	1	1	1	1
94	0	100	7	0	1	1	1
91	0	100	7	0	1	1	1
69	0	100	270	1	1	1	1
71	0	100	270	1	1	1	1
87	0	100	7	0	1	1	1
63	0	100	365	1	1	1	1
122	0	100	180	0	1	1	1
78	0	100	30	1	1	1	1
74	0	100	270	1	1	1	1
79	0	100	90	0	1	1	1
83	0	100	180	0	1	1	1
76	0	100	180	0	1	1	1
72	0	100	180	0	1	1	1
67	0	100	365	1	1	1	1
88	0	100	30	0	1	1	1
77	0	100	90	1	1	1	1
75	0	100	270	0	1	1	1
74	0	100	270	1	1	1	1
70	0	100	365	0	1	1	1
67	0	100	365	0	1	1	1
75	0	100	270	0	1	1	1
66	0	100	365	1	1	1	1
73	0	100	270	1	1	1	1
84	0	100	7	0	1	1	1
80	0	100	90	0	1	1	1
79	0	100	30	1	1	1	1
68	0	100	180	0	1	1	1
81	0	100	30	0	1	1	1
77	0	100	90	1	1	1	1
79	0	100	30	0	1	1	1
75	0	100	30	1	1	1	1
67	0	100	365	0	1	1	1
79	0	100	7	1	1	1	1
83	0	100	7	0	1	1	1
76	0	100	30	0	1	1	1
63	0	100	180	1	1	1	1
82	0	100	7	1	1	1	1
79	0	100	90	1	1	1	1
65	0	100	365	0	1	1	1
76	0	100	30	1	1	1	1
64	0	100	365	1	1	1	1
78	0	100	30	1	1	1	1
74	0	100	270	0	1	1	1
79	0	100	90	1	1	1	1
82	0	100	90	0	1	1	1
66	0	100	180	1	1	1	1
67	0	100	365	0	1	1	1
-114	0	-100	30	0	2	1	1
-65	0	-100	7	0	2	1	1
-92	0	-100	60	0	2	1	1
-156	0	-100	365	1	2	1	1
-771	0	-100	30	1	2	1	1
-157	0	-100	180	1	2	1	1
-85	0	-100	180	0	2	1	1
-127	0	-100	180	1	2	1	1
-433	0	-100	30	1	2	1	1
-794	0	-100	60	1	2	1	1
-56	0	-100	2	0	2	1	1
-738	0	-100	7	1	2	1	1
-430	0	-100	60	1	2	1	1
-105	0	-100	180	0	2	1	1
-86	0	-100	365	0	2	1	1
-262	0	-100	60	1	2	1	1
-776	0	-100	2	1	2	1	1
-385	0	-100	2	1	2	1	1
-396	0	-100	7	1	2	1	1
-118	0	-100	180	1	2	1	1
-216	0	-100	2	1	2	1	1
-127	0	-100	365	0	2	1	1
-284	0	-100	30	1	2	1	1
-201	0	-100	30	1	2	1	1
-139	0	-100	2	0	2	1	1
-173	0	-100	60	0	2	1	1
-155	0	-100	30	1	2	1	1
-178	0	-100	2	1	2	1	1
-222	0	-100	7	1	2	1	1
-135	0	-100	30	1	2	1	1
-158	0	-100	2	1	2	1	1
-109	0	-100	180	0	2	1	1
-115	0	-100	180	1	2	1	1
-201	0	-100	365	1	2	1	1
-120	0	-100	30	0	2	1	1
-141	0	-100	365	0	2	1	1
-111	0	-100	180	0	2	1	1
-147	0	-100	2	0	2	1	1
-153	0	-100	365	0	2	1	1
-115	0	-100	180	0	2	1	1
-149	0	-100	7	1	2	1	1
-118	0	-100	180	0	2	1	1
-218	0	-100	60	1	2	1	1
-164	0	-100	365	0	2	1	1
-120	0	-100	180	0	2	1	1
-155	0	-100	2	1	2	1	1
-179	0	-100	365	0	2	1	1
-131	0	-100	30	0	2	1	1
-106	0	-100	7	0	2	1	1
-195	0	-100	60	1	2	1	1
-182	0	-100	60	1	2	1	1
-261	0	-100	365	0	2	1	1
-120	0	-100	180	0	2	1	1
-169	0	-100	60	1	2	1	1
-136	0	-100	30	0	2	1	1
-834	0	-100	365	1	2	1	1
-498	0	-100	365	1	2	1	1
-358	0	-100	365	1	2	1	1
-148	0	-100	60	0	2	1	1
-141	0	-100	30	0	2	1	1
-123	0	-100	180	0	2	1	1
-125	0	-100	180	0	2	1	1
-126	0	-100	7	1	2	1	1
-225	0	-100	365	1	2	1	1
-149	0	-100	2	1	2	1	1
-167	0	-100	60	1	2	1	1
-115	0	-100	7	1	2	1	1
-185	0	-100	365	0	2	1	1
-146	0	-100	2	1	2	1	1
-107	0	-100	7	1	2	1	1
-99	0	-100	7	0	2	1	1
-142	0	-100	2	1	2	1	1
-146	0	-100	30	1	2	1	1
-164	0	-100	60	1	2	1	1
-106	0	-100	7	0	2	1	1
-141	0	-100	30	1	2	1	1
-138	0	-100	30	0	2	1	1
-109	0	-100	7	0	2	1	1
-196	0	-100	365	0	2	1	1
-127	0	-100	180	0	2	1	1
-137	0	-100	2	1	2	1	1
-141	0	-100	30	1	2	1	1
-113	0	-100	7	1	2	1	1
-111	0	-100	7	1	2	1	1
-132	0	-100	2	1	2	1	1
-157	0	-100	60	0	2	1	1
-161	0	-100	60	1	2	1	1
-113	0	-100	2	1	2	1	1
-109	0	-100	7	1	2	1	1
-159	0	-100	60	0	2	1	1
