A	DA	B	DB	R
74	0	100	90	1
105	0	100	30	0
98	0	100	180	0
95	0	100	365	0
343	0	100	90	0
105	0	100	270	0
56	0	100	270	0
30	0	100	270	1
195	0	100	90	0
56	0	100	180	1
116	0	100	7	0
56	0	100	30	1
83	0	100	180	0
43	0	100	270	1
54	0	100	365	1
68	0	100	180	0
56	0	100	7	1
89	0	100	7	1
86	0	100	30	1
54	0	100	270	0
143	0	100	7	0
81	0	100	365	0
133	0	100	90	0
103	0	100	90	0
104	0	100	7	0
58	0	100	180	1
87	0	100	90	0
94	0	100	7	0
138	0	100	30	0
77	0	100	90	0
88	0	100	7	1
46	0	100	270	0
41	0	100	270	0
65	0	100	365	0
64	0	100	90	0
56	0	100	365	0
38	0	100	270	1
92	0	100	7	1
44	0	100	365	1
41	0	100	270	1
96	0	100	30	0
43	0	100	270	0
65	0	100	180	0
54	0	100	365	0
42	0	100	270	1
95	0	100	7	1
50	0	100	365	0
45	0	100	90	1
88	0	100	30	1
61	0	100	180	0
57	0	100	180	0
46	0	100	365	1
43	0	100	270	1
55	0	100	180	0
62	0	100	90	0
48	0	100	365	0
47	0	100	365	0
47	0	100	365	1
50	0	100	180	0
55	0	100	90	1
45	0	100	270	0
45	0	100	270	0
94	0	100	30	1
48	0	100	365	0
99	0	100	7	1
47	0	100	180	1
98	0	100	30	0
45	0	100	365	0
101	0	100	7	0
94	0	100	30	1
96	0	100	30	1
99	0	100	7	1
63	0	100	90	0
52	0	100	180	1
100	0	100	30	0
59	0	100	90	1
63	0	100	90	1
96	0	100	30	0
44	0	100	365	0
44	0	100	270	0
101	0	100	7	0
63	0	100	90	1
95	0	100	30	1
97	0	100	30	0
100	0	100	7	0
52	0	100	180	0
51	0	100	180	0
97	0	100	7	0
96	0	100	30	0
49	0	100	180	1
