A	DA	B	DB	R
-100	0	-100	30	1
-91	0	-100	365	0
-54	0	-100	30	0
-117	0	-100	7	1
-100	0	-100	90	1
-69	0	-100	270	0
-102	0	-100	180	1
-54	0	-100	90	0
-55	0	-100	180	0
-60	0	-100	7	0
-365	0	-100	365	1
-219	0	-100	365	1
-151	0	-100	365	1
-82	0	-100	30	1
-347	0	-100	270	1
-94	0	-100	7	1
-204	0	-100	270	1
-140	0	-100	270	1
-66	0	-100	30	0
-83	0	-100	180	1
-75	0	-100	30	1
-77	0	-100	7	0
-119	0	-100	365	1
-104	0	-100	365	1
-70	0	-100	30	0
-83	0	-100	90	1
-87	0	-100	7	1
-69	0	-100	180	1
-105	0	-100	270	1
-92	0	-100	365	1
-88	0	-100	270	1
-74	0	-100	30	0
-79	0	-100	30	1
-60	0	-100	180	0
-69	0	-100	365	1
-79	0	-100	7	1
-67	0	-100	90	0
-76	0	-100	90	1
-77	0	-100	270	1
-67	0	-100	270	0
-75	0	-100	270	1
-51	0	-100	365	0
-66	0	-100	180	0
-70	0	-100	90	0
-70	0	-100	270	0
-71	0	-100	180	0
-74	0	-100	7	0
-77	0	-100	7	1
-74	0	-100	30	0
-75	0	-100	90	1
-77	0	-100	30	1
-76	0	-100	180	1
-75	0	-100	7	1
-73	0	-100	180	0
-71	0	-100	90	0
-69	0	-100	365	0
-73	0	-100	90	0
-74	0	-100	270	1
-75	0	-100	90	0
-74	0	-100	180	1
-78	0	-100	365	1
-74	0	-100	7	0
-71	0	-100	270	1
-73	0	-100	180	1
-73	0	-100	365	1
-70	0	-100	180	0
-75	0	-100	30	1
-76	0	-100	7	0
-73	0	-100	30	1
-78	0	-100	7	1
-78	0	-100	90	1
-71	0	-100	180	0
-75	0	-100	7	0
-73	0	-100	30	1
-73	0	-100	180	1
-76	0	-100	7	0
-71	0	-100	30	1
-71	0	-100	180	1
-66	0	-100	365	1
-64	0	-100	365	0
-75	0	-100	90	1
-74	0	-100	90	1
-68	0	-100	270	1
-69	0	-100	30	0
-67	0	-100	270	0
-69	0	-100	270	0
-67	0	-100	365	1
-78	0	-100	7	1
-75	0	-100	90	1
-70	0	-100	90	0
