A	DA	B	DB	R
115	0	100	7	0
111	0	100	30	0
59	0	100	30	1
68	0	100	180	0
60	0	100	7	1
94	0	100	90	0
52	0	100	90	0
90	0	100	7	1
153	0	100	7	0
103	0	100	7	0
74	0	100	270	0
30	0	100	90	1
102	0	100	365	0
41	0	100	270	1
37	0	100	180	1
96	0	100	180	0
56	0	100	365	0
71	0	100	270	0
31	0	100	365	0
53	0	100	180	1
95	0	100	7	1
52	0	100	270	1
19	0	100	365	1
42	0	100	90	1
89	0	100	30	0
63	0	100	180	0
24	0	100	365	1
51	0	100	90	1
32	0	100	365	1
63	0	100	90	1
100	0	100	7	0
61	0	100	270	0
72	0	100	30	1
37	0	100	365	0
82	0	100	30	1
55	0	100	180	1
31	0	100	365	1
97	0	100	7	0
36	0	100	365	1
89	0	100	30	1
54	0	100	270	1
94	0	100	30	0
94	0	100	7	1
36	0	100	365	1
40	0	100	365	1
97	0	100	7	1
58	0	100	270	1
76	0	100	90	1
62	0	100	270	1
137	0	100	90	0
82	0	100	90	1
99	0	100	7	0
61	0	100	180	1
89	0	100	30	0
64	0	100	180	1
96	0	100	7	1
91	0	100	90	0
64	0	100	270	1
85	0	100	30	1
99	0	100	7	0
97	0	100	7	0
67	0	100	270	1
41	0	100	365	1
84	0	100	90	1
89	0	100	30	1
91	0	100	30	1
68	0	100	270	1
67	0	100	180	1
71	0	100	270	1
70	0	100	180	1
73	0	100	270	1
44	0	100	365	1
88	0	100	90	1
92	0	100	30	1
95	0	100	30	1
96	0	100	7	1
96	0	100	30	0
92	0	100	90	0
79	0	100	270	1
112	0	100	270	0
73	0	100	180	1
46	0	100	365	1
88	0	100	90	1
95	0	100	30	1
91	0	100	90	1
75	0	100	180	1
80	0	100	180	0
75	0	100	180	1
50	0	100	365	1
78	0	100	180	1
