A	DA	B	DB	R
-109	0	-100	180	1
-111	0	-100	365	1
-109	0	-100	7	1
-114	0	-100	90	1
-56	0	-100	180	0
-57	0	-100	7	0
-110	0	-100	30	1
-59	0	-100	90	0
-59	0	-100	30	0
-87	0	-100	90	1
-84	0	-100	180	1
-71	0	-100	90	1
-55	0	-100	365	0
-116	0	-100	270	1
-86	0	-100	7	0
-85	0	-100	30	1
-81	0	-100	365	1
-68	0	-100	365	0
-101	0	-100	7	1
-64	0	-100	270	0
-70	0	-100	180	0
-73	0	-100	30	1
-81	0	-100	180	1
-60	0	-100	30	0
-91	0	-100	270	1
-61	0	-100	90	0
-69	0	-100	90	1
-76	0	-100	365	1
-69	0	-100	30	1
-71	0	-100	365	0
-64	0	-100	90	0
-64	0	-100	30	0
-68	0	-100	90	1
-91	0	-100	7	1
-74	0	-100	180	0
-67	0	-100	30	0
-77	0	-100	180	0
-74	0	-100	365	1
-65	0	-100	90	0
-71	0	-100	365	0
-75	0	-100	365	1
-73	0	-100	365	1
-70	0	-100	30	0
-78	0	-100	270	0
-68	0	-100	90	0
-86	0	-100	270	0
-85	0	-100	7	0
-88	0	-100	7	0
-94	0	-100	270	1
-70	0	-100	365	0
-82	0	-100	180	1
-69	0	-100	90	0
-88	0	-100	270	1
-94	0	-100	7	0
-84	0	-100	270	1
-71	0	-100	365	1
-74	0	-100	30	0
-70	0	-100	90	0
-78	0	-100	180	0
-95	0	-100	7	0
-81	0	-100	180	1
-79	0	-100	180	0
-97	0	-100	7	1
-75	0	-100	30	0
-77	0	-100	30	0
-79	0	-100	30	0
-81	0	-100	30	0
-84	0	-100	30	0
-81	0	-100	270	0
-82	0	-100	180	0
-70	0	-100	365	1
-73	0	-100	90	1
-80	0	-100	180	1
-97	0	-100	7	0
-83	0	-100	270	1
-71	0	-100	90	0
-98	0	-100	7	0
-100	0	-100	7	0
-81	0	-100	270	0
-69	0	-100	365	0
-100	0	-100	7	0
-73	0	-100	90	0
-84	0	-100	270	0
-80	0	-100	180	0
-74	0	-100	90	0
-102	0	-100	7	1
-84	0	-100	30	0
-87	0	-100	30	0
-82	0	-100	180	1
-70	0	-100	365	1
-85	0	-100	270	1
-101	0	-100	7	1
-84	0	-100	270	1
-69	0	-100	365	0
-71	0	-100	365	0
-81	0	-100	270	0
-81	0	-100	180	0
-99	0	-100	7	1
-70	0	-100	365	0
-90	0	-100	30	1
-72	0	-100	365	0
-99	0	-100	7	0
-87	0	-100	30	0
-89	0	-100	30	0
-75	0	-100	90	0
-99	0	-100	7	0
-76	0	-100	90	0
-83	0	-100	270	0
-82	0	-100	180	0
-83	0	-100	180	0
-84	0	-100	270	0
-77	0	-100	90	1
-83	0	-100	180	0
-75	0	-100	90	0
-84	0	-100	180	0
-100	0	-100	7	1
-85	0	-100	270	0
-72	0	-100	365	0
-85	0	-100	270	0
-88	0	-100	270	0
