A	DA	B	DB	R
106	0	100	365	0
116	0	100	90	0
113	0	100	7	0
112	0	100	180	0
59	0	100	7	1
60	0	100	90	1
54	0	100	180	1
114	0	100	270	0
88	0	100	90	1
85	0	100	180	1
102	0	100	180	0
117	0	100	30	0
53	0	100	365	0
60	0	100	30	1
90	0	100	180	0
88	0	100	7	1
59	0	100	270	0
84	0	100	180	0
79	0	100	180	0
103	0	100	7	0
104	0	100	90	0
28	0	100	365	1
93	0	100	7	1
32	0	100	270	1
100	0	100	7	0
89	0	100	30	1
73	0	100	180	0
96	0	100	7	1
42	0	100	365	1
104	0	100	30	0
93	0	100	90	1
101	0	100	90	0
96	0	100	90	0
54	0	100	365	0
94	0	100	30	0
86	0	100	30	0
98	0	100	7	1
66	0	100	180	0
46	0	100	365	0
45	0	100	270	1
92	0	100	90	1
81	0	100	30	1
60	0	100	180	1
40	0	100	365	1
43	0	100	365	1
48	0	100	365	1
86	0	100	30	1
96	0	100	90	0
50	0	100	365	1
93	0	100	90	0
101	0	100	7	0
66	0	100	180	0
89	0	100	30	0
56	0	100	270	1
65	0	100	270	0
57	0	100	270	1
99	0	100	7	0
91	0	100	90	0
61	0	100	180	1
52	0	100	365	0
96	0	100	7	0
60	0	100	270	0
66	0	100	180	0
50	0	100	365	1
51	0	100	365	1
96	0	100	7	0
53	0	100	365	1
86	0	100	30	0
85	0	100	30	1
54	0	100	365	1
57	0	100	270	1
61	0	100	270	1
54	0	100	365	1
89	0	100	90	1
91	0	100	90	0
88	0	100	30	1
94	0	100	7	1
63	0	100	180	1
65	0	100	180	0
95	0	100	7	0
95	0	100	7	0
62	0	100	270	1
89	0	100	90	1
56	0	100	365	1
64	0	100	270	1
89	0	100	30	1
64	0	100	180	1
91	0	100	90	0
66	0	100	270	1
64	0	100	180	1
68	0	100	180	1
92	0	100	7	1
90	0	100	30	0
94	0	100	7	0
92	0	100	7	0
89	0	100	30	0
69	0	100	270	0
87	0	100	30	1
88	0	100	30	0
66	0	100	270	1
88	0	100	30	0
90	0	100	90	0
92	0	100	7	0
69	0	100	180	1
86	0	100	30	0
68	0	100	180	1
68	0	100	270	0
88	0	100	90	0
57	0	100	365	1
88	0	100	90	0
66	0	100	270	1
86	0	100	90	0
58	0	100	365	1
85	0	100	90	0
86	0	100	30	0
90	0	100	7	1
59	0	100	365	1
66	0	100	270	1
66	0	100	270	0
67	0	100	270	1
