A	DA	B	DB	R
111	0	100	270	0
111	0	100	7	0
58	0	100	7	1
117	0	100	90	0
112	0	100	180	0
59	0	100	180	0
111	0	100	30	0
31	0	100	180	1
57	0	100	270	0
31	0	100	270	0
115	0	100	365	0
86	0	100	7	1
60	0	100	365	0
20	0	100	270	0
54	0	100	30	1
100	0	100	7	0
46	0	100	180	0
83	0	100	30	0
15	0	100	270	0
91	0	100	7	1
62	0	100	90	0
37	0	100	180	0
96	0	100	7	0
92	0	100	7	0
67	0	100	30	0
29	0	100	180	0
55	0	100	30	1
24	0	100	180	0
63	0	100	30	1
19	0	100	180	0
33	0	100	90	0
31	0	100	365	0
88	0	100	7	0
87	0	100	7	0
21	0	100	90	0
15	0	100	90	1
85	0	100	7	0
20	0	100	365	0
13	0	100	365	1
81	0	100	7	1
12	0	100	270	1
16	0	100	180	1
69	0	100	30	0
13	0	100	270	1
84	0	100	7	1
18	0	100	365	0
13	0	100	365	0
18	0	100	90	1
12	0	100	365	1
22	0	100	90	1
85	0	100	7	0
14	0	100	365	0
66	0	100	30	1
85	0	100	7	0
27	0	100	90	0
18	0	100	180	1
23	0	100	90	1
23	0	100	180	0
68	0	100	30	1
26	0	100	90	0
21	0	100	180	0
15	0	100	270	0
83	0	100	7	0
11	0	100	365	0
18	0	100	180	0
13	0	100	270	1
16	0	100	270	1
17	0	100	180	1
10	0	100	365	0
23	0	100	90	0
8	0	100	365	1
9	0	100	365	1
18	0	100	270	0
21	0	100	90	1
14	0	100	270	1
71	0	100	30	0
18	0	100	180	1
16	0	100	270	1
80	0	100	7	0
22	0	100	90	1
25	0	100	90	1
10	0	100	365	1
18	0	100	270	1
68	0	100	30	1
71	0	100	30	0
10	0	100	365	1
19	0	100	270	1
21	0	100	270	0
19	0	100	180	0
80	0	100	7	1
68	0	100	30	0
81	0	100	7	1
82	0	100	7	1
19	0	100	270	0
18	0	100	270	0
67	0	100	30	0
17	0	100	270	0
26	0	100	90	0
66	0	100	30	1
19	0	100	180	0
67	0	100	30	0
24	0	100	90	0
24	0	100	90	0
83	0	100	7	1
13	0	100	365	0
22	0	100	90	0
66	0	100	30	0
22	0	100	90	0
21	0	100	90	0
18	0	100	180	1
66	0	100	30	0
12	0	100	365	1
64	0	100	30	0
16	0	100	270	1
13	0	100	365	1
14	0	100	365	1
18	0	100	180	1
19	0	100	180	1
62	0	100	30	0
15	0	100	365	1
