A	DA	B	DB	R
-113	0	-100	90	0
-175	0	-100	90	1
-111	0	-100	270	1
-59	0	-100	270	0
-110	0	-100	30	1
-87	0	-100	270	1
-109	0	-100	365	1
-71	0	-100	270	1
-61	0	-100	270	0
-143	0	-100	90	1
-126	0	-100	90	1
-115	0	-100	7	1
-116	0	-100	180	1
-58	0	-100	30	0
-60	0	-100	7	0
-85	0	-100	30	0
-88	0	-100	7	0
-62	0	-100	180	0
-100	0	-100	30	1
-55	0	-100	365	0
-82	0	-100	365	1
-114	0	-100	90	1
-68	0	-100	365	1
-90	0	-100	30	0
-102	0	-100	7	1
-57	0	-100	365	0
-89	0	-100	180	1
-95	0	-100	30	1
-95	0	-100	7	1
-92	0	-100	30	1
-68	0	-100	270	0
-73	0	-100	180	0
-83	0	-100	180	0
-73	0	-100	270	0
-87	0	-100	30	1
-65	0	-100	365	0
-84	0	-100	90	1
-70	0	-100	365	1
-87	0	-100	7	0
-77	0	-100	270	1
-72	0	-100	270	1
-89	0	-100	180	1
-92	0	-100	7	0
-70	0	-100	270	0
-65	0	-100	365	0
-73	0	-100	270	0
-74	0	-100	270	0
-85	0	-100	180	1
-53	0	-100	90	0
-76	0	-100	270	0
-97	0	-100	7	1
-69	0	-100	365	1
-83	0	-100	180	1
-93	0	-100	7	0
-67	0	-100	365	1
-79	0	-100	180	1
-80	0	-100	90	1
-95	0	-100	7	0
-85	0	-100	30	0
-87	0	-100	30	0
-64	0	-100	90	0
-76	0	-100	180	1
-78	0	-100	270	1
-97	0	-100	7	1
-65	0	-100	365	1
-74	0	-100	180	1
-90	0	-100	30	0
-62	0	-100	365	1
-61	0	-100	365	0
-91	0	-100	30	0
-76	0	-100	270	1
-92	0	-100	30	1
-71	0	-100	90	1
-95	0	-100	7	0
-70	0	-100	180	1
-74	0	-100	270	1
-61	0	-100	365	1
-65	0	-100	90	0
-60	0	-100	365	0
-98	0	-100	7	0
-92	0	-100	30	0
-69	0	-100	90	0
-98	0	-100	7	0
-99	0	-100	7	0
-93	0	-100	30	0
-69	0	-100	180	0
-73	0	-100	90	0
-63	0	-100	365	1
-74	0	-100	270	1
-77	0	-100	90	0
-102	0	-100	7	1
-100	0	-100	7	1
-79	0	-100	90	1
-76	0	-100	90	1
-72	0	-100	270	1
-95	0	-100	30	0
-62	0	-100	365	1
-72	0	-100	180	1
-68	0	-100	180	1
-95	0	-100	30	0
-59	0	-100	365	0
-72	0	-100	270	1
-74	0	-100	90	0
-69	0	-100	180	0
-77	0	-100	90	0
-78	0	-100	90	1
-97	0	-100	30	1
-71	0	-100	270	1
-100	0	-100	7	0
-77	0	-100	90	1
-61	0	-100	365	1
-99	0	-100	7	0
-94	0	-100	30	0
-70	0	-100	180	1
-97	0	-100	30	0
-68	0	-100	180	0
-100	0	-100	7	0
-62	0	-100	365	0
-70	0	-100	180	0
-71	0	-100	180	0
