A	DA	B	DB	R
94	0	100	270	0
50	0	100	270	1
95	0	100	90	0
49	0	100	90	1
77	0	100	270	0
87	0	100	30	1
111	0	100	365	0
76	0	100	90	1
62	0	100	270	0
137	0	100	180	0
57	0	100	365	0
75	0	100	180	0
102	0	100	7	0
30	0	100	365	0
37	0	100	180	0
56	0	100	7	1
20	0	100	365	0
22	0	100	180	0
386	0	100	30	0
88	0	100	7	1
15	0	100	365	0
10	0	100	365	0
52	0	100	270	0
14	0	100	180	1
8	0	100	365	0
18	0	100	180	1
138	0	100	90	0
8	0	100	365	1
7	0	100	365	1
23	0	100	180	0
10	0	100	365	0
225	0	100	30	0
41	0	100	270	0
8	0	100	365	1
9	0	100	365	1
134	0	100	7	0
95	0	100	7	0
87	0	100	90	0
20	0	100	180	0
15	0	100	180	0
10	0	100	365	1
157	0	100	30	0
14	0	100	180	1
120	0	100	30	0
87	0	100	7	0
14	0	100	180	1
30	0	100	270	0
79	0	100	90	0
23	0	100	270	0
18	0	100	270	0
72	0	100	90	0
81	0	100	7	1
67	0	100	90	0
86	0	100	7	1
14	0	100	270	0
101	0	100	30	0
18	0	100	180	1
89	0	100	30	1
10	0	100	365	1
97	0	100	30	1
89	0	100	7	1
103	0	100	30	0
100	0	100	30	0
93	0	100	7	1
11	0	100	270	0
20	0	100	180	0
96	0	100	30	1
63	0	100	90	0
56	0	100	90	1
63	0	100	90	1
100	0	100	30	0
8	0	100	270	1
66	0	100	90	1
95	0	100	7	1
67	0	100	90	1
98	0	100	7	1
12	0	100	365	1
10	0	100	270	1
97	0	100	30	1
99	0	100	30	1
9	0	100	270	1
70	0	100	90	0
18	0	100	180	1
100	0	100	7	0
100	0	100	30	0
12	0	100	270	1
20	0	100	180	1
97	0	100	7	1
98	0	100	7	1
68	0	100	90	1
