A	DA	B	DB	R
89	0	100	180	0
85	0	100	7	1
81	0	100	90	0
86	0	100	365	0
383	0	100	7	0
69	0	100	30	0
230	0	100	7	0
39	0	100	30	1
156	0	100	7	0
95	0	100	270	0
49	0	100	180	0
25	0	100	180	1
37	0	100	180	1
99	0	100	30	0
54	0	100	270	1
49	0	100	365	1
46	0	100	180	1
55	0	100	180	1
45	0	100	90	1
78	0	100	365	0
81	0	100	270	0
66	0	100	180	1
73	0	100	90	1
120	0	100	90	0
65	0	100	270	1
80	0	100	90	1
119	0	100	7	0
54	0	100	30	1
63	0	100	30	1
61	0	100	365	0
81	0	100	180	1
89	0	100	90	0
75	0	100	270	0
51	0	100	365	1
69	0	100	270	0
71	0	100	30	1
103	0	100	7	0
63	0	100	270	1
80	0	100	90	0
91	0	100	7	1
77	0	100	90	1
99	0	100	7	0
59	0	100	365	1
94	0	100	7	0
91	0	100	7	0
69	0	100	270	1
71	0	100	270	1
87	0	100	7	0
63	0	100	365	1
122	0	100	180	0
78	0	100	30	1
74	0	100	270	1
79	0	100	90	0
83	0	100	180	0
76	0	100	180	0
72	0	100	180	0
67	0	100	365	1
88	0	100	30	0
77	0	100	90	1
75	0	100	270	0
74	0	100	270	1
70	0	100	365	0
67	0	100	365	0
75	0	100	270	0
66	0	100	365	1
73	0	100	270	1
84	0	100	7	0
80	0	100	90	0
79	0	100	30	1
68	0	100	180	0
81	0	100	30	0
77	0	100	90	1
79	0	100	30	0
75	0	100	30	1
67	0	100	365	0
79	0	100	7	1
83	0	100	7	0
76	0	100	30	0
63	0	100	180	1
82	0	100	7	1
79	0	100	90	1
65	0	100	365	0
76	0	100	30	1
64	0	100	365	1
78	0	100	30	1
74	0	100	270	0
79	0	100	90	1
82	0	100	90	0
66	0	100	180	1
67	0	100	365	0
