A	DA	B	DB	R
106	0	100	270	0
108	0	100	7	0
110	0	100	30	0
57	0	100	30	1
112	0	100	90	0
56	0	100	7	1
84	0	100	30	1
60	0	100	90	1
83	0	100	7	1
112	0	100	365	0
97	0	100	7	0
55	0	100	270	0
88	0	100	7	1
109	0	100	180	0
100	0	100	30	0
30	0	100	270	1
59	0	100	365	0
59	0	100	180	0
43	0	100	270	1
88	0	100	90	1
102	0	100	90	0
52	0	100	270	0
30	0	100	180	1
46	0	100	270	1
92	0	100	90	0
95	0	100	7	0
49	0	100	270	0
47	0	100	270	1
45	0	100	180	1
55	0	100	180	0
33	0	100	365	0
89	0	100	30	1
96	0	100	30	0
87	0	100	90	1
22	0	100	365	1
48	0	100	270	1
90	0	100	90	0
47	0	100	180	1
88	0	100	90	1
91	0	100	7	1
52	0	100	180	1
91	0	100	30	1
56	0	100	180	1
94	0	100	7	0
89	0	100	90	1
51	0	100	270	0
91	0	100	7	1
49	0	100	270	1
29	0	100	365	1
35	0	100	365	1
96	0	100	30	0
60	0	100	180	1
91	0	100	30	0
92	0	100	7	0
42	0	100	365	1
63	0	100	180	1
51	0	100	270	0
91	0	100	7	1
49	0	100	365	1
54	0	100	365	0
68	0	100	180	1
89	0	100	30	1
47	0	100	365	1
75	0	100	180	1
48	0	100	270	1
91	0	100	30	0
50	0	100	365	0
92	0	100	90	0
92	0	100	7	1
92	0	100	90	0
94	0	100	7	0
88	0	100	90	1
92	0	100	7	0
47	0	100	365	1
90	0	100	30	0
87	0	100	180	0
91	0	100	7	0
90	0	100	7	1
92	0	100	7	1
73	0	100	180	0
51	0	100	270	1
51	0	100	270	0
88	0	100	30	1
90	0	100	30	0
93	0	100	7	0
69	0	100	180	1
90	0	100	90	0
70	0	100	180	0
50	0	100	270	0
50	0	100	270	0
51	0	100	365	0
89	0	100	90	1
68	0	100	180	1
47	0	100	365	1
70	0	100	180	0
89	0	100	30	1
91	0	100	7	0
91	0	100	30	0
90	0	100	7	1
89	0	100	30	0
89	0	100	30	0
68	0	100	180	1
49	0	100	365	1
71	0	100	180	1
90	0	100	90	0
50	0	100	270	0
48	0	100	270	0
90	0	100	90	0
88	0	100	30	1
88	0	100	30	1
89	0	100	90	0
88	0	100	90	0
51	0	100	365	0
50	0	100	365	0
48	0	100	365	0
87	0	100	90	1
47	0	100	270	1
45	0	100	365	1
88	0	100	90	1
47	0	100	365	1
