A	DA	B	DB	R
-110	0	-100	90	1
-115	0	-100	365	1
-57	0	-100	365	0
-102	0	-100	180	1
-108	0	-100	30	1
-87	0	-100	365	1
-55	0	-100	180	0
-57	0	-100	30	0
-57	0	-100	90	0
-118	0	-100	270	1
-72	0	-100	365	1
-80	0	-100	180	1
-109	0	-100	7	1
-60	0	-100	365	0
-57	0	-100	7	0
-68	0	-100	365	0
-74	0	-100	365	1
-83	0	-100	30	1
-69	0	-100	30	1
-85	0	-100	90	1
-66	0	-100	270	0
-70	0	-100	90	1
-59	0	-100	30	0
-92	0	-100	270	1
-69	0	-100	365	0
-66	0	-100	30	0
-81	0	-100	7	0
-79	0	-100	270	1
-68	0	-100	270	0
-66	0	-100	180	0
-76	0	-100	270	1
-72	0	-100	365	1
-71	0	-100	270	1
-69	0	-100	270	1
-96	0	-100	7	0
-109	0	-100	7	1
-60	0	-100	90	0
-71	0	-100	30	0
-100	0	-100	7	0
-69	0	-100	90	0
-75	0	-100	180	1
-103	0	-100	7	1
-100	0	-100	7	0
-74	0	-100	30	0
-77	0	-100	30	0
-101	0	-100	7	1
-70	0	-100	365	1
-80	0	-100	30	1
-68	0	-100	365	0
-65	0	-100	270	0
-72	0	-100	90	0
-67	0	-100	270	0
-70	0	-100	270	0
-77	0	-100	90	0
-79	0	-100	90	0
-71	0	-100	270	1
-70	0	-100	270	1
-100	0	-100	7	0
-101	0	-100	7	1
-84	0	-100	90	0
-77	0	-100	30	0
-70	0	-100	365	1
-80	0	-100	30	1
-69	0	-100	365	1
-101	0	-100	7	1
-78	0	-100	30	0
-79	0	-100	30	0
-66	0	-100	365	1
-69	0	-100	180	0
-87	0	-100	90	0
-74	0	-100	180	0
-78	0	-100	180	1
-73	0	-100	180	1
-68	0	-100	270	0
-92	0	-100	90	1
-65	0	-100	365	1
-70	0	-100	180	0
-70	0	-100	270	1
-86	0	-100	90	0
-80	0	-100	30	0
-100	0	-100	7	1
-81	0	-100	30	0
-64	0	-100	365	0
-99	0	-100	7	1
-89	0	-100	90	1
-84	0	-100	30	0
-68	0	-100	270	0
-65	0	-100	365	0
-74	0	-100	180	0
-75	0	-100	180	0
-69	0	-100	270	0
-71	0	-100	270	0
-86	0	-100	90	1
-66	0	-100	365	0
-96	0	-100	7	1
-95	0	-100	7	1
-68	0	-100	365	0
-69	0	-100	365	1
-71	0	-100	270	0
-94	0	-100	7	1
-86	0	-100	30	0
-83	0	-100	90	1
-76	0	-100	180	0
-87	0	-100	30	0
-83	0	-100	90	0
-84	0	-100	90	0
-78	0	-100	180	0
-79	0	-100	180	0
-93	0	-100	7	0
-80	0	-100	180	0
-88	0	-100	30	0
-72	0	-100	270	1
-85	0	-100	90	0
-82	0	-100	180	0
-94	0	-100	7	1
-84	0	-100	180	0
-83	0	-100	180	0
-86	0	-100	180	0
-88	0	-100	90	0
-92	0	-100	7	1
