A	DA	B	DB	R
-110	0	-100	7	1
-122	0	-100	365	1
-56	0	-100	7	1
-31	0	-100	7	0
-114	0	-100	30	1
-107	0	-100	180	1
-112	0	-100	90	1
-59	0	-100	90	1
-64	0	-100	365	1
-44	0	-100	7	0
-57	0	-100	7	1
-34	0	-100	90	1
-21	0	-100	90	0
-47	0	-100	7	1
-62	0	-100	30	1
-42	0	-100	7	1
-34	0	-100	30	1
-57	0	-100	180	1
-30	0	-100	180	1
-113	0	-100	270	1
-19	0	-100	30	0
-34	0	-100	365	1
-20	0	-100	365	0
-59	0	-100	270	1
-27	0	-100	90	0
-27	0	-100	365	1
-20	0	-100	365	0
-27	0	-100	30	0
-19	0	-100	180	0
-32	0	-100	270	1
-25	0	-100	365	0
-34	0	-100	30	1
-37	0	-100	7	1
-36	0	-100	90	1
-21	0	-100	270	0
-29	0	-100	90	1
-31	0	-100	365	1
-26	0	-100	365	0
-27	0	-100	90	1
-23	0	-100	90	0
-25	0	-100	270	0
-26	0	-100	90	0
-27	0	-100	90	1
-26	0	-100	180	0
-28	0	-100	30	1
-26	0	-100	90	0
-33	0	-100	270	1
-28	0	-100	365	1
-35	0	-100	7	1
-28	0	-100	270	1
-32	0	-100	180	1
-26	0	-100	270	0
-27	0	-100	365	1
-27	0	-100	180	0
-24	0	-100	30	0
-29	0	-100	180	1
-27	0	-100	270	1
-28	0	-100	30	0
-27	0	-100	180	1
-31	0	-100	30	1
-29	0	-100	7	1
-24	0	-100	365	0
-28	0	-100	90	1
-26	0	-100	365	0
-26	0	-100	90	0
-28	0	-100	7	1
-25	0	-100	180	0
-28	0	-100	30	1
-26	0	-100	270	0
-28	0	-100	270	1
-23	0	-100	7	0
-25	0	-100	270	0
-26	0	-100	30	0
-27	0	-100	7	1
-27	0	-100	180	1
-27	0	-100	270	1
-24	0	-100	7	0
-25	0	-100	180	0
-25	0	-100	180	0
-28	0	-100	30	1
-27	0	-100	180	1
-26	0	-100	270	0
-28	0	-100	7	1
-28	0	-100	365	1
-26	0	-100	365	1
-28	0	-100	270	1
-26	0	-100	270	0
-27	0	-100	180	1
-25	0	-100	180	0
-27	0	-100	7	1
-27	0	-100	90	1
-27	0	-100	30	1
-27	0	-100	270	1
-28	0	-100	180	1
-27	0	-100	30	1
-26	0	-100	270	0
-25	0	-100	30	0
-25	0	-100	30	0
-26	0	-100	365	0
-25	0	-100	180	0
-28	0	-100	180	1
-25	0	-100	180	0
-26	0	-100	270	0
-26	0	-100	90	0
-28	0	-100	270	1
-27	0	-100	90	1
-25	0	-100	7	0
-26	0	-100	365	0
-27	0	-100	7	0
-28	0	-100	7	0
-25	0	-100	30	0
-28	0	-100	30	1
-25	0	-100	90	0
-27	0	-100	365	1
-26	0	-100	365	0
-26	0	-100	30	0
-26	0	-100	90	0
-27	0	-100	365	1
-27	0	-100	90	1
-29	0	-100	7	0
