A	DA	B	DB	R
112	0	100	365	0
110	0	100	270	0
61	0	100	365	0
58	0	100	270	0
116	0	100	7	0
32	0	100	270	1
110	0	100	90	0
45	0	100	270	1
55	0	100	270	1
115	0	100	180	0
59	0	100	90	1
113	0	100	30	0
57	0	100	180	0
32	0	100	365	0
59	0	100	7	1
31	0	100	180	0
55	0	100	30	1
19	0	100	180	1
21	0	100	365	0
85	0	100	30	0
70	0	100	30	1
24	0	100	180	1
80	0	100	30	1
86	0	100	30	1
63	0	100	270	0
85	0	100	90	1
101	0	100	90	0
91	0	100	90	0
57	0	100	270	0
32	0	100	180	1
90	0	100	7	1
54	0	100	270	0
94	0	100	30	1
103	0	100	7	0
84	0	100	90	0
95	0	100	7	1
49	0	100	270	0
39	0	100	180	1
47	0	100	270	0
101	0	100	7	0
16	0	100	365	1
97	0	100	7	1
98	0	100	7	1
17	0	100	365	1
44	0	100	180	1
23	0	100	365	1
49	0	100	180	1
79	0	100	90	0
53	0	100	180	1
100	0	100	30	0
45	0	100	270	1
92	0	100	30	1
102	0	100	7	0
97	0	100	30	0
73	0	100	90	1
95	0	100	30	1
26	0	100	365	1
63	0	100	180	0
100	0	100	7	0
48	0	100	270	0
81	0	100	90	1
82	0	100	90	1
95	0	100	30	1
44	0	100	270	1
56	0	100	180	1
98	0	100	7	1
46	0	100	270	1
100	0	100	7	0
84	0	100	90	1
59	0	100	180	0
99	0	100	30	1
100	0	100	30	0
97	0	100	7	1
30	0	100	365	0
27	0	100	365	1
99	0	100	7	1
28	0	100	365	1
86	0	100	90	0
86	0	100	90	0
55	0	100	180	0
102	0	100	7	0
84	0	100	90	0
30	0	100	365	0
30	0	100	365	0
53	0	100	180	0
48	0	100	270	0
100	0	100	7	0
51	0	100	180	0
99	0	100	7	1
48	0	100	270	0
81	0	100	90	0
50	0	100	180	0
46	0	100	270	0
99	0	100	7	0
44	0	100	270	0
99	0	100	30	1
44	0	100	270	0
100	0	100	30	0
98	0	100	30	0
28	0	100	365	0
97	0	100	30	0
79	0	100	90	0
95	0	100	30	1
96	0	100	30	0
78	0	100	90	0
24	0	100	365	0
25	0	100	365	1
27	0	100	365	1
97	0	100	7	0
98	0	100	7	0
77	0	100	90	1
79	0	100	90	1
27	0	100	365	1
28	0	100	365	1
47	0	100	180	1
49	0	100	180	1
79	0	100	90	1
29	0	100	365	1
49	0	100	180	1
42	0	100	270	1
