A	DA	B	DB	R
-110	0	-100	90	1
-115	0	-100	365	1
-57	0	-100	365	0
-102	0	-100	180	1
-108	0	-100	30	1
-87	0	-100	365	1
-55	0	-100	180	0
-57	0	-100	30	0
-57	0	-100	90	0
-118	0	-100	270	1
-72	0	-100	365	0
-80	0	-100	180	1
-109	0	-100	7	1
-80	0	-100	365	1
-57	0	-100	7	0
-75	0	-100	365	1
-70	0	-100	365	1
-83	0	-100	30	0
-97	0	-100	30	1
-85	0	-100	90	1
-66	0	-100	270	0
-70	0	-100	90	1
-87	0	-100	30	1
-92	0	-100	270	1
-65	0	-100	365	0
-82	0	-100	30	1
-81	0	-100	7	1
-79	0	-100	270	1
-68	0	-100	270	1
-66	0	-100	180	0
-53	0	-100	270	1
-70	0	-100	365	1
-40	0	-100	270	0
-54	0	-100	270	0
-68	0	-100	7	1
-58	0	-100	7	0
-60	0	-100	90	1
-77	0	-100	30	1
-65	0	-100	7	1
-49	0	-100	90	0
-75	0	-100	180	1
-61	0	-100	7	0
-65	0	-100	7	0
-72	0	-100	30	1
-67	0	-100	30	1
-68	0	-100	7	0
-66	0	-100	365	1
-60	0	-100	30	0
-64	0	-100	365	0
-61	0	-100	270	0
-58	0	-100	90	0
-63	0	-100	270	1
-60	0	-100	270	1
-63	0	-100	90	1
-59	0	-100	90	1
-59	0	-100	270	1
-57	0	-100	270	1
-70	0	-100	7	1
-68	0	-100	7	1
-56	0	-100	90	0
-67	0	-100	30	0
-68	0	-100	365	1
-71	0	-100	30	1
-65	0	-100	365	1
-64	0	-100	7	0
-67	0	-100	30	0
-71	0	-100	30	1
-63	0	-100	365	1
-69	0	-100	180	1
-59	0	-100	90	0
-63	0	-100	180	1
-61	0	-100	180	1
-58	0	-100	180	0
-55	0	-100	270	0
-61	0	-100	90	1
-63	0	-100	365	1
-61	0	-100	180	0
-58	0	-100	270	0
-59	0	-100	90	0
-69	0	-100	30	1
-66	0	-100	7	0
-69	0	-100	30	1
-60	0	-100	365	0
-70	0	-100	7	0
-62	0	-100	90	0
-65	0	-100	30	1
-57	0	-100	270	0
-64	0	-100	365	0
-63	0	-100	180	1
-61	0	-100	180	0
-58	0	-100	270	0
-60	0	-100	270	0
-62	0	-100	90	1
-63	0	-100	365	1
-71	0	-100	7	0
-72	0	-100	7	0
-62	0	-100	365	1
-63	0	-100	365	1
-62	0	-100	270	1
-72	0	-100	7	0
-63	0	-100	30	0
-61	0	-100	90	0
-63	0	-100	180	0
-65	0	-100	30	0
-62	0	-100	90	1
-61	0	-100	90	1
-63	0	-100	180	1
-63	0	-100	180	1
-75	0	-100	7	0
-63	0	-100	180	1
-67	0	-100	30	1
-59	0	-100	270	0
-60	0	-100	90	0
-61	0	-100	180	0
-74	0	-100	7	0
-62	0	-100	180	1
-60	0	-100	180	0
-62	0	-100	180	0
-61	0	-100	90	1
-76	0	-100	7	1
