A	DA	B	DB	R
106	0	100	270	0
108	0	100	7	0
110	0	100	30	0
57	0	100	30	1
112	0	100	90	0
56	0	100	7	1
84	0	100	30	0
60	0	100	90	0
83	0	100	7	0
112	0	100	365	0
69	0	100	7	1
55	0	100	270	1
77	0	100	7	1
109	0	100	180	0
70	0	100	30	1
82	0	100	270	0
59	0	100	365	1
59	0	100	180	1
68	0	100	270	1
32	0	100	90	1
47	0	100	90	1
77	0	100	270	0
83	0	100	180	0
71	0	100	270	0
58	0	100	90	1
86	0	100	7	1
67	0	100	270	1
70	0	100	270	1
70	0	100	180	1
79	0	100	180	0
84	0	100	365	0
79	0	100	30	1
85	0	100	30	0
69	0	100	90	1
72	0	100	365	0
73	0	100	270	0
83	0	100	90	0
73	0	100	180	1
68	0	100	90	1
90	0	100	7	1
77	0	100	180	0
81	0	100	30	1
75	0	100	180	0
95	0	100	7	0
74	0	100	90	1
71	0	100	270	1
91	0	100	7	0
73	0	100	270	0
61	0	100	365	1
70	0	100	365	1
84	0	100	30	1
71	0	100	180	1
85	0	100	30	0
87	0	100	7	0
74	0	100	365	0
74	0	100	180	1
71	0	100	270	0
86	0	100	7	0
71	0	100	365	0
67	0	100	365	0
75	0	100	180	0
85	0	100	30	0
66	0	100	365	0
73	0	100	180	0
69	0	100	270	1
82	0	100	30	0
64	0	100	365	0
79	0	100	90	1
84	0	100	7	1
84	0	100	90	0
86	0	100	7	1
78	0	100	90	0
86	0	100	7	1
61	0	100	365	0
80	0	100	30	0
72	0	100	180	0
88	0	100	7	1
88	0	100	7	0
89	0	100	7	1
72	0	100	180	0
71	0	100	270	1
71	0	100	270	0
79	0	100	30	0
77	0	100	30	1
89	0	100	7	1
70	0	100	180	0
77	0	100	90	0
69	0	100	180	0
71	0	100	270	0
70	0	100	270	0
59	0	100	365	1
75	0	100	90	0
69	0	100	180	0
61	0	100	365	0
66	0	100	180	0
79	0	100	30	0
90	0	100	7	0
77	0	100	30	1
89	0	100	7	1
78	0	100	30	0
76	0	100	30	1
66	0	100	180	1
59	0	100	365	0
66	0	100	180	0
72	0	100	90	1
69	0	100	270	0
68	0	100	270	0
73	0	100	90	0
79	0	100	30	1
80	0	100	30	0
72	0	100	90	1
74	0	100	90	0
57	0	100	365	0
58	0	100	365	0
56	0	100	365	0
73	0	100	90	0
67	0	100	270	0
54	0	100	365	0
71	0	100	90	0
54	0	100	365	0
