A	DA	B	DB	R
110	0	100	7	0
122	0	100	365	0
56	0	100	7	1
84	0	100	7	1
114	0	100	30	0
107	0	100	180	0
112	0	100	90	0
59	0	100	90	1
64	0	100	365	1
98	0	100	7	1
112	0	100	7	0
86	0	100	90	1
101	0	100	90	0
101	0	100	7	0
62	0	100	30	1
97	0	100	7	1
89	0	100	30	1
57	0	100	180	1
85	0	100	180	0
113	0	100	270	0
104	0	100	30	0
93	0	100	365	0
79	0	100	365	0
59	0	100	270	1
91	0	100	90	1
67	0	100	365	1
75	0	100	365	0
94	0	100	30	1
70	0	100	180	1
86	0	100	270	0
71	0	100	365	0
101	0	100	30	0
100	0	100	7	0
98	0	100	90	0
73	0	100	270	0
95	0	100	90	0
66	0	100	365	1
69	0	100	365	1
90	0	100	90	0
87	0	100	90	1
64	0	100	270	1
90	0	100	90	0
88	0	100	90	1
80	0	100	180	0
96	0	100	30	0
89	0	100	90	1
70	0	100	270	1
73	0	100	365	0
97	0	100	7	1
73	0	100	270	0
74	0	100	180	1
69	0	100	270	1
70	0	100	365	0
78	0	100	180	1
93	0	100	30	0
82	0	100	180	0
74	0	100	270	1
89	0	100	30	1
79	0	100	180	1
92	0	100	30	1
98	0	100	7	1
69	0	100	365	1
90	0	100	90	0
71	0	100	365	0
89	0	100	90	0
102	0	100	7	0
80	0	100	180	0
93	0	100	30	0
76	0	100	270	0
74	0	100	270	0
101	0	100	7	0
73	0	100	270	0
92	0	100	30	1
97	0	100	7	1
77	0	100	180	0
70	0	100	270	0
100	0	100	7	0
77	0	100	180	1
78	0	100	180	1
94	0	100	30	1
80	0	100	180	0
68	0	100	270	1
97	0	100	7	1
68	0	100	365	1
70	0	100	365	1
70	0	100	270	0
70	0	100	270	0
78	0	100	180	0
77	0	100	180	1
99	0	100	7	0
88	0	100	90	1
95	0	100	30	0
68	0	100	270	0
78	0	100	180	1
95	0	100	30	1
67	0	100	270	1
95	0	100	30	0
93	0	100	30	1
71	0	100	365	0
79	0	100	180	1
81	0	100	180	0
79	0	100	180	0
68	0	100	270	1
90	0	100	90	0
70	0	100	270	1
89	0	100	90	1
98	0	100	7	1
71	0	100	365	0
101	0	100	7	0
98	0	100	7	1
96	0	100	30	1
95	0	100	30	1
89	0	100	90	1
69	0	100	365	0
67	0	100	365	0
97	0	100	30	0
90	0	100	90	0
67	0	100	365	1
90	0	100	90	0
99	0	100	7	0
