A	DA	B	DB	R
-106	0	-100	365	1
-116	0	-100	90	1
-113	0	-100	7	1
-112	0	-100	180	1
-59	0	-100	7	0
-60	0	-100	90	0
-54	0	-100	180	0
-114	0	-100	270	1
-88	0	-100	90	0
-85	0	-100	180	0
-102	0	-100	180	1
-117	0	-100	30	1
-53	0	-100	365	0
-60	0	-100	30	0
-90	0	-100	180	0
-88	0	-100	7	0
-59	0	-100	270	0
-99	0	-100	180	0
-102	0	-100	180	1
-103	0	-100	7	1
-104	0	-100	90	1
-79	0	-100	365	0
-93	0	-100	7	0
-87	0	-100	270	0
-100	0	-100	7	1
-89	0	-100	30	0
-99	0	-100	180	0
-96	0	-100	7	0
-96	0	-100	365	0
-104	0	-100	30	1
-93	0	-100	90	0
-101	0	-100	90	1
-96	0	-100	90	0
-109	0	-100	365	1
-94	0	-100	30	0
-100	0	-100	30	1
-98	0	-100	7	0
-101	0	-100	180	1
-98	0	-100	365	0
-102	0	-100	270	1
-100	0	-100	90	1
-96	0	-100	30	0
-98	0	-100	180	0
-104	0	-100	365	1
-100	0	-100	365	0
-103	0	-100	365	1
-100	0	-100	30	1
-97	0	-100	90	0
-100	0	-100	365	0
-99	0	-100	90	0
-101	0	-100	7	1
-102	0	-100	180	1
-97	0	-100	30	0
-94	0	-100	270	0
-99	0	-100	270	0
-103	0	-100	270	1
-99	0	-100	7	0
-102	0	-100	90	1
-99	0	-100	180	0
-101	0	-100	365	1
-102	0	-100	7	1
-101	0	-100	270	1
-101	0	-100	180	1
-99	0	-100	365	0
-102	0	-100	365	1
-99	0	-100	7	0
-101	0	-100	365	1
-99	0	-100	30	0
-100	0	-100	30	1
-98	0	-100	365	0
-96	0	-100	270	0
-100	0	-100	270	0
-99	0	-100	365	0
-101	0	-100	90	1
-98	0	-100	90	0
-101	0	-100	30	1
-99	0	-100	7	0
-99	0	-100	180	0
-101	0	-100	180	1
-102	0	-100	7	1
-101	0	-100	7	1
-102	0	-100	270	1
-99	0	-100	90	0
-103	0	-100	365	1
-100	0	-100	270	0
-98	0	-100	30	0
-100	0	-100	180	0
-102	0	-100	90	1
-101	0	-100	270	1
-100	0	-100	180	0
-102	0	-100	180	1
-100	0	-100	7	1
-101	0	-100	30	1
-99	0	-100	7	0
-99	0	-100	7	0
-99	0	-100	30	0
-99	0	-100	270	0
-98	0	-100	30	0
-100	0	-100	30	0
-101	0	-100	270	1
-101	0	-100	30	1
-98	0	-100	90	0
-101	0	-100	7	1
-100	0	-100	180	0
-99	0	-100	30	0
-101	0	-100	180	1
-99	0	-100	270	0
-102	0	-100	90	1
-99	0	-100	365	0
-99	0	-100	90	0
-100	0	-100	270	0
-101	0	-100	90	1
-102	0	-100	365	0
-99	0	-100	90	0
-100	0	-100	30	0
-98	0	-100	7	0
-104	0	-100	365	0
-101	0	-100	270	0
-103	0	-100	270	0
-103	0	-100	270	0
