A	DA	B	DB	R
-89	0	-100	180	1
-85	0	-100	7	1
-81	0	-100	90	1
-86	0	-100	365	1
-45	0	-100	7	0
-69	0	-100	30	1
-73	0	-100	7	1
-39	0	-100	30	0
-56	0	-100	7	0
-95	0	-100	270	1
-49	0	-100	180	1
-25	0	-100	180	0
-37	0	-100	180	1
-99	0	-100	30	1
-54	0	-100	270	1
-49	0	-100	365	1
-29	0	-100	180	0
-34	0	-100	180	0
-45	0	-100	90	0
-27	0	-100	365	0
-29	0	-100	270	0
-41	0	-100	180	0
-73	0	-100	90	1
-56	0	-100	90	0
-43	0	-100	270	0
-64	0	-100	90	1
-64	0	-100	7	1
-54	0	-100	30	0
-63	0	-100	30	0
-39	0	-100	365	0
-44	0	-100	180	1
-58	0	-100	90	1
-52	0	-100	270	0
-48	0	-100	365	0
-59	0	-100	270	1
-71	0	-100	30	0
-58	0	-100	7	0
-53	0	-100	270	0
-55	0	-100	90	0
-65	0	-100	7	0
-58	0	-100	90	0
-68	0	-100	7	0
-54	0	-100	365	1
-70	0	-100	7	0
-72	0	-100	7	0
-56	0	-100	270	0
-59	0	-100	270	0
-75	0	-100	7	0
-50	0	-100	365	0
-39	0	-100	180	0
-78	0	-100	30	0
-63	0	-100	270	0
-61	0	-100	90	0
-43	0	-100	180	0
-46	0	-100	180	0
-48	0	-100	180	0
-52	0	-100	365	0
-88	0	-100	30	0
-62	0	-100	90	0
-66	0	-100	270	0
-71	0	-100	270	1
-57	0	-100	365	1
-54	0	-100	365	1
-67	0	-100	270	1
-50	0	-100	365	0
-63	0	-100	270	1
-77	0	-100	7	0
-65	0	-100	90	0
-133	0	-100	30	1
-49	0	-100	180	0
-90	0	-100	30	1
-66	0	-100	90	1
-84	0	-100	30	1
-80	0	-100	30	1
-51	0	-100	365	1
-80	0	-100	7	0
-109	0	-100	7	1
-78	0	-100	30	1
-51	0	-100	180	0
-81	0	-100	7	1
-64	0	-100	90	1
-51	0	-100	365	1
-77	0	-100	30	0
-49	0	-100	365	0
-77	0	-100	30	0
-62	0	-100	270	1
-62	0	-100	90	1
-61	0	-100	90	0
-53	0	-100	180	0
-51	0	-100	365	1
