m_mode	m_CI5	m_CI95	c_mode	c_CI5	c_CI95	alpha_mode	alpha_CI5	alpha_CI95	epsilon_mode	epsilon_CI5	epsilon_CI95
-0.870800106689862	-1.09115	-0.373695	-1.0619160120857	-2.9007	0.00729846	3.70747203808826	0.438912	6.22721	0.00238630671122505	3.17374e-05	0.0267054
-0.949835556979796	-1.18272	-0.424755	-1.08091627650613	-3.46009	-0.323132	3.55679031312946	0.492693	6.2824	0.00192175726057499	1.20063e-05	0.0263011
-0.766590529573338	-1.03503	-0.35163	-1.01839163156931	-2.49084	0.451941	3.74248776872368	0.895991	6.75812	0.00130179503753891	2.98032e-06	0.0286498
-0.898165534242813	-1.1546	-0.413748	-1.0995241169505	-3.12678	-0.113517	4.24693250320454	2.18128	7.91052	0.00221509494598059	1.04793e-06	0.0303759
-0.818296740835012	-1.075	-0.37244	-1.07692293474943	-2.72439	0.212385	3.75567958249405	0.466598	6.5216	0.00216927765061344	2.42525e-06	0.0257638
-0.781947108466093	-1.05561	-0.390506	-0.996348346456692	-2.57725	0.236533	3.87724703351035	1.29411	6.90301	0.00255092113166087	2.66402e-05	0.0276937
-0.899133195043643	-1.13725	-0.397268	-1.05914771409388	-3.1039	-0.0104725	4.57610855154734	2.47531	8.25906	0.00268714534883721	2.19457e-06	0.0303147
-0.839365181102362	-1.09432	-0.39561	-1.01121425868278	-2.70403	0.190156	3.61808712689984	0.518945	6.4772	0.00263078981871452	1.39002e-05	0.0275559
-1.04256342892022	-1.29267	-0.445612	-1.1739871822621	-3.86982	-0.393326	4.02243335469694	0.963826	6.68408	0.00295483728254898	4.91699e-06	0.0271939
-0.94386148690716	-1.18893	-0.417364	-1.09063270280168	-3.34474	-0.201388	3.67871067570042	0.274232	6.33739	0.00267762008789599	1.85705e-05	0.0264631
-0.8372002665629	-1.11042	-0.383688	-1.07241816822316	-2.85132	0.0483444	3.65406898919612	0.525402	6.59582	0.00180498063541476	1.19425e-05	0.0265398
-0.973140328145028	-1.16695	-0.41578	-1.09992764872124	-3.36194	-0.283274	4.1928094488189	2.21274	7.57218	0.00269283202710126	4.22459e-06	0.0310646
-0.792035662613685	-1.06865	-0.374312	-0.897783179515351	-2.53465	0.460614	3.81084900201428	1.06786	6.93702	0.00189295275590551	1.48308e-05	0.0288108
-0.895069019355429	-1.12219	-0.405892	-1.07128093731307	-2.9793	-0.0868034	3.83808291521699	0.601788	6.42255	0	1.75538e-06	0.0268074
-0.885853683409632	-1.07841	-0.397592	-1.0115987653055	-2.90872	-0.0917476	3.70308383080022	0.680482	6.70526	0.00227731774400293	2.61422e-06	0.0272999
-0.899480753769151	-1.18567	-0.384241	-1.07527501556492	-3.24253	0.113286	3.85500549349936	0.556148	7.17764	0.00375643481047427	1.87893e-05	0.0326339
